category,
Java Developer,84
Testing,70
DevOps Engineer,55
Python Developer,48
Web Designing,45
HR,44
Hadoop,42
Blockchain,40
ETL Developer,40
Operations Manager,40
Data Science,40
Sales,40
Mechanical Engineer,40
Arts,36
Database,33
Electrical Engineering,30
Health and fitness,30
PMO,30
Business Analyst,28
DotNet Developer,28
Automation Testing,26
Network Security Engineer,25
SAP Developer,24
Civil Engineer,24
Advocate,20
